,ano,mes,estado,numero,encontro
0,1998,Janeiro,Acre,0 Fires,1/1/1998
1,1999,Janeiro,Acre,0 Fires,1/1/1999
2,2000,Janeiro,Acre,0 Fires,1/1/2000
3,2001,Janeiro,Acre,0 Fires,1/1/2001
4,2002,Janeiro,Acre,0 Fires,1/1/2002
5,2003,Janeiro,Acre,10 Fires,1/1/2003
6,2004,Janeiro,Acre,0 Fires,1/1/2004
7,2005,Janeiro,Acre,12 Fires,1/1/2005
8,2006,Janeiro,Acre,4 Fires,1/1/2006
9,2007,Janeiro,Acre,0 Fires,1/1/2007
10,2008,Janeiro,Acre,0 Fires,1/1/2008
11,2009,Janeiro,Acre,0 Fires,1/1/2009
12,2010,Janeiro,Acre,1 Fires,1/1/2010
13,2011,Janeiro,Acre,0 Fires,1/1/2011
14,2012,Janeiro,Acre,0 Fires,1/1/2012
15,2013,Janeiro,Acre,0 Fires,1/1/2013
16,2014,Janeiro,Acre,0 Fires,1/1/2014
17,2015,Janeiro,Acre,1 Fires,1/1/2015
18,2016,Janeiro,Acre,12 Fires,1/1/2016
19,2017,Janeiro,Acre,0 Fires,1/1/2017
20,1998,Fevereiro,Acre,0 Fires,1/1/1998
21,1999,Fevereiro,Acre,0 Fires,1/1/1999
22,2000,Fevereiro,Acre,0 Fires,1/1/2000
23,2001,Fevereiro,Acre,0 Fires,1/1/2001
24,2002,Fevereiro,Acre,1 Fires,1/1/2002
25,2003,Fevereiro,Acre,0 Fires,1/1/2003
26,2004,Fevereiro,Acre,3 Fires,1/1/2004
27,2005,Fevereiro,Acre,0 Fires,1/1/2005
28,2006,Fevereiro,Acre,0 Fires,1/1/2006
29,2007,Fevereiro,Acre,5 Fires,1/1/2007
30,2008,Fevereiro,Acre,0 Fires,1/1/2008
31,2009,Fevereiro,Acre,2 Fires,1/1/2009
32,2010,Fevereiro,Acre,0 Fires,1/1/2010
33,2011,Fevereiro,Acre,0 Fires,1/1/2011
34,2012,Fevereiro,Acre,0 Fires,1/1/2012
35,2013,Fevereiro,Acre,0 Fires,1/1/2013
36,2014,Fevereiro,Acre,0 Fires,1/1/2014
37,2015,Fevereiro,Acre,2 Fires,1/1/2015
38,2016,Fevereiro,Acre,5 Fires,1/1/2016
39,2017,Fevereiro,Acre,1 Fires,1/1/2017
40,1998,Março,Acre,0 Fires,1/1/1998
41,1999,Março,Acre,0 Fires,1/1/1999
42,2000,Março,Acre,11 Fires,1/1/2000
43,2001,Março,Acre,0 Fires,1/1/2001
44,2002,Março,Acre,0 Fires,1/1/2002
45,2003,Março,Acre,0 Fires,1/1/2003
46,2004,Março,Acre,0 Fires,1/1/2004
47,2005,Março,Acre,3 Fires,1/1/2005
48,2006,Março,Acre,0 Fires,1/1/2006
49,2007,Março,Acre,2 Fires,1/1/2007
50,2008,Março,Acre,0 Fires,1/1/2008
51,2009,Março,Acre,1 Fires,1/1/2009
52,2010,Março,Acre,0 Fires,1/1/2010
53,2011,Março,Acre,0 Fires,1/1/2011
54,2012,Março,Acre,1 Fires,1/1/2012
55,2013,Março,Acre,2 Fires,1/1/2013
56,2014,Março,Acre,1 Fires,1/1/2014
57,2015,Março,Acre,2 Fires,1/1/2015
58,2016,Março,Acre,0 Fires,1/1/2016
59,2017,Março,Acre,0 Fires,1/1/2017
60,1998,Abril,Acre,0 Fires,1/1/1998
61,1999,Abril,Acre,0 Fires,1/1/1999
62,2000,Abril,Acre,1 Fires,1/1/2000
63,2001,Abril,Acre,0 Fires,1/1/2001
64,2002,Abril,Acre,0 Fires,1/1/2002
65,2003,Abril,Acre,1 Fires,1/1/2003
66,2004,Abril,Acre,2 Fires,1/1/2004
67,2005,Abril,Acre,1 Fires,1/1/2005
68,2006,Abril,Acre,,1/1/2006
69,2007,Abril,Acre,0 Fires,1/1/2007
70,2008,Abril,Acre,0 Fires,1/1/2008
71,2009,Abril,Acre,0 Fires,1/1/2009
72,2010,Abril,Acre,3 Fires,1/1/2010
73,2011,Abril,Acre,2 Fires,1/1/2011
74,2012,Abril,Acre,1 Fires,1/1/2012
75,2013,Abril,Acre,19 Fires,1/1/2013
76,2014,Abril,Acre,7 Fires,1/1/2014
77,2015,Abril,Acre,3 Fires,1/1/2015
78,2016,Abril,Acre,0 Fires,1/1/2016
79,2017,Abril,Acre,1 Fires,1/1/2017
80,1998,Maio,Acre,0 Fires,1/1/1998
81,1999,Maio,Acre,0 Fires,1/1/1999
82,2000,Maio,Acre,1 Fires,1/1/2000
83,2001,Maio,Acre,0 Fires,1/1/2001
84,2002,Maio,Acre,0 Fires,1/1/2002
85,2003,Maio,Acre,6 Fires,1/1/2003
86,2004,Maio,Acre,7 Fires,1/1/2004
87,2005,Maio,Acre,2 Fires,1/1/2005
88,2006,Maio,Acre,8 Fires,1/1/2006
89,2007,Maio,Acre,1 Fires,1/1/2007
90,2008,Maio,Acre,0 Fires,1/1/2008
91,2009,Maio,Acre,3 Fires,1/1/2009
92,2010,Maio,Acre,9 Fires,1/1/2010
93,2011,Maio,Acre,3 Fires,1/1/2011
94,2012,Maio,Acre,3 Fires,1/1/2012
95,2013,Maio,Acre,4 Fires,1/1/2013
96,2014,Maio,Acre,1 Fires,1/1/2014
97,2015,Maio,Acre,2 Fires,1/1/2015
98,2016,Maio,Acre,21 Fires,1/1/2016
99,2017,Maio,Acre,10 Fires,1/1/2017
100,1998,Junho,Acre,3 Fires,1/1/1998
101,1999,Junho,Acre,0 Fires,1/1/1999
102,2000,Junho,Acre,1 Fires,1/1/2000
103,2001,Junho,Acre,1 Fires,1/1/2001
104,2002,Junho,Acre,0 Fires,1/1/2002
105,2003,Junho,Acre,0 Fires,1/1/2003
106,2004,Junho,Acre,5 Fires,1/1/2004
107,2005,Junho,Acre,27 Fires,1/1/2005
108,2006,Junho,Acre,1 Fires,1/1/2006
109,2007,Junho,Acre,4 Fires,1/1/2007
110,2008,Junho,Acre,,1/1/2008
111,2009,Junho,Acre,0 Fires,1/1/2009
112,2010,Junho,Acre,1 Fires,1/1/2010
113,2011,Junho,Acre,10 Fires,1/1/2011
114,2012,Junho,Acre,7 Fires,1/1/2012
115,2013,Junho,Acre,8 Fires,1/1/2013
116,2014,Junho,Acre,17 Fires,1/1/2014
117,2015,Junho,Acre,40 Fires,1/1/2015
118,2016,Junho,Acre,87 Fires,1/1/2016
119,2017,Junho,Acre,45 Fires,1/1/2017
120,1998,Julho,Acre,37 Fires,1/1/1998
121,1999,Julho,Acre,1 Fires,1/1/1999
122,2000,Julho,Acre,1 Fires,1/1/2000
123,2001,Julho,Acre,3 Fires,1/1/2001
124,2002,Julho,Acre,39 Fires,1/1/2002
125,2003,Julho,Acre,168 Fires,1/1/2003
126,2004,Julho,Acre,42 Fires,1/1/2004
127,2005,Julho,Acre,,1/1/2005
128,2006,Julho,Acre,33 Fires,1/1/2006
129,2007,Julho,Acre,29 Fires,1/1/2007
130,2008,Julho,Acre,41 Fires,1/1/2008
131,2009,Julho,Acre,31 Fires,1/1/2009
132,2010,Julho,Acre,126 Fires,1/1/2010
133,2011,Julho,Acre,93 Fires,1/1/2011
134,2012,Julho,Acre,71 Fires,1/1/2012
135,2013,Julho,Acre,54 Fires,1/1/2013
136,2014,Julho,Acre,60 Fires,1/1/2014
137,2015,Julho,Acre,109 Fires,1/1/2015
138,2016,Julho,Acre,533 Fires,1/1/2016
139,2017,Julho,Acre,457 Fires,1/1/2017
140,1998,Agosto,Acre,130 Fires,1/1/1998
141,1999,Agosto,Acre,63 Fires,1/1/1999
142,2000,Agosto,Acre,136 Fires,1/1/2000
143,2001,Agosto,Acre,396 Fires,1/1/2001
144,2002,Agosto,Acre,728 Fires,1/1/2002
145,2003,Agosto,Acre,1.976 Fires,1/1/2003
146,2004,Agosto,Acre,645 Fires,1/1/2004
147,2005,Agosto,Acre,4.198 Fires,1/1/2005
148,2006,Agosto,Acre,839 Fires,1/1/2006
149,2007,Agosto,Acre,960 Fires,1/1/2007
150,2008,Agosto,Acre,445 Fires,1/1/2008
151,2009,Agosto,Acre,194 Fires,1/1/2009
152,2010,Agosto,Acre,1.682 Fires,1/1/2010
153,2011,Agosto,Acre,425 Fires,1/1/2011
154,2012,Agosto,Acre,739 Fires,1/1/2012
155,2013,Agosto,Acre,679 Fires,1/1/2013
156,2014,Agosto,Acre,1.1 Fires,1/1/2014
157,2015,Agosto,Acre,1.397 Fires,1/1/2015
158,2016,Agosto,Acre,2.188 Fires,1/1/2016
159,2017,Agosto,Acre,1.493 Fires,1/1/2017
160,1998,Setembro,Acre,509 Fires,1/1/1998
161,1999,Setembro,Acre,209 Fires,1/1/1999
162,2000,Setembro,Acre,265 Fires,1/1/2000
163,2001,Setembro,Acre,290 Fires,1/1/2001
164,2002,Setembro,Acre,1.949 Fires,1/1/2002
165,2003,Setembro,Acre,3.942 Fires,1/1/2003
166,2004,Setembro,Acre,1.978 Fires,1/1/2004
167,2005,Setembro,Acre,4.253 Fires,1/1/2005
168,2006,Setembro,Acre,2.37 Fires,1/1/2006
169,2007,Setembro,Acre,2.08 Fires,1/1/2007
170,2008,Setembro,Acre,1.666 Fires,1/1/2008
171,2009,Setembro,Acre,1.265 Fires,1/1/2009
172,2010,Setembro,Acre,2.531 Fires,1/1/2010
173,2011,Setembro,Acre,1.204 Fires,1/1/2011
174,2012,Setembro,Acre,1.996 Fires,1/1/2012
175,2013,Setembro,Acre,2.136 Fires,1/1/2013
176,2014,Setembro,Acre,2.175 Fires,1/1/2014
177,2015,Setembro,Acre,2.928 Fires,1/1/2015
178,2016,Setembro,Acre,3.586 Fires,1/1/2016
179,2017,Setembro,Acre,3.429 Fires,1/1/2017
180,1998,Outubro,Acre,44 Fires,1/1/1998
181,1999,Outubro,Acre,60 Fires,1/1/1999
182,2000,Outubro,Acre,18 Fires,1/1/2000
183,2001,Outubro,Acre,137 Fires,1/1/2001
184,2002,Outubro,Acre,687 Fires,1/1/2002
185,2003,Outubro,Acre,740 Fires,1/1/2003
186,2004,Outubro,Acre,461 Fires,1/1/2004
187,2005,Outubro,Acre,547 Fires,1/1/2005
188,2006,Outubro,Acre,316 Fires,1/1/2006
189,2007,Outubro,Acre,203 Fires,1/1/2007
190,2008,Outubro,Acre,652 Fires,1/1/2008
191,2009,Outubro,Acre,565 Fires,1/1/2009
192,2010,Outubro,Acre,292 Fires,1/1/2010
193,2011,Outubro,Acre,97 Fires,1/1/2011
194,2012,Outubro,Acre,348 Fires,1/1/2012
195,2013,Outubro,Acre,258 Fires,1/1/2013
196,2014,Outubro,Acre,406 Fires,1/1/2014
197,2015,Outubro,Acre,905 Fires,1/1/2015
198,2016,Outubro,Acre,509 Fires,1/1/2016
199,2017,Outubro,Acre,1.508 Fires,1/1/2017
200,1998,Novembro,Acre,0 Fires,1/1/1998
201,1999,Novembro,Acre,0 Fires,1/1/1999
202,2000,Novembro,Acre,0 Fires,1/1/2000
203,2001,Novembro,Acre,1 Fires,1/1/2001
204,2002,Novembro,Acre,86 Fires,1/1/2002
205,2003,Novembro,Acre,15 Fires,1/1/2003
206,2004,Novembro,Acre,,1/1/2004
207,2005,Novembro,Acre,14 Fires,1/1/2005
208,2006,Novembro,Acre,18 Fires,1/1/2006
209,2007,Novembro,Acre,7 Fires,1/1/2007
210,2008,Novembro,Acre,4 Fires,1/1/2008
211,2009,Novembro,Acre,33 Fires,1/1/2009
212,2010,Novembro,Acre,39 Fires,1/1/2010
213,2011,Novembro,Acre,74 Fires,1/1/2011
214,2012,Novembro,Acre,13 Fires,1/1/2012
215,2013,Novembro,Acre,79 Fires,1/1/2013
216,2014,Novembro,Acre,56 Fires,1/1/2014
217,2015,Novembro,Acre,,1/1/2015
218,2016,Novembro,Acre,46 Fires,1/1/2016
219,2017,Novembro,Acre,98 Fires,1/1/2017
220,1998,Dezembro,Acre,7 Fires,1/1/1998
221,1999,Dezembro,Acre,0 Fires,1/1/1999
222,2000,Dezembro,Acre,0 Fires,1/1/2000
223,2001,Dezembro,Acre,0 Fires,1/1/2001
224,2002,Dezembro,Acre,1 Fires,1/1/2002
225,2003,Dezembro,Acre,1 Fires,1/1/2003
226,2004,Dezembro,Acre,7 Fires,1/1/2004
227,2005,Dezembro,Acre,2 Fires,1/1/2005
228,2006,Dezembro,Acre,0 Fires,1/1/2006
229,2007,Dezembro,Acre,0 Fires,1/1/2007
230,2008,Dezembro,Acre,0 Fires,1/1/2008
231,2009,Dezembro,Acre,1 Fires,1/1/2009
232,2010,Dezembro,Acre,0 Fires,1/1/2010
233,2011,Dezembro,Acre,4 Fires,1/1/2011
234,2012,Dezembro,Acre,1 Fires,1/1/2012
235,2013,Dezembro,Acre,3 Fires,1/1/2013
236,2014,Dezembro,Acre,6 Fires,1/1/2014
237,2015,Dezembro,Acre,8 Fires,1/1/2015
238,2016,Dezembro,Acre,6 Fires,1/1/2016
239,1998,Janeiro,alagoas,0,1/1/1998
240,1999,Janeiro,alagoas,58,1/1/1999
241,2000,Janeiro,alagoas,11,1/1/2000
242,2001,Janeiro,alagoas,5,1/1/2001
243,2002,Janeiro,alagoas,12,1/1/2002
244,2003,Janeiro,alagoas,150,1/1/2003
245,2004,Janeiro,alagoas,9,1/1/2004
246,2005,Janeiro,alagoas,83,1/1/2005
247,2006,Janeiro,alagoas,29,1/1/2006
248,2007,Janeiro,alagoas,33,1/1/2007
249,2008,Janeiro,alagoas,55,1/1/2008
250,2009,Janeiro,alagoas,104,1/1/2009
251,2010,Janeiro,alagoas,23,1/1/2010
252,2011,Janeiro,alagoas,41,1/1/2011
253,2012,Janeiro,alagoas,36,1/1/2012
254,2013,Janeiro,alagoas,49,1/1/2013
255,2014,Janeiro,alagoas,54,1/1/2014
256,2015,Janeiro,alagoas,81,1/1/2015
257,2016,Janeiro,alagoas,24,1/1/2016
